Model,Balanced Accuracy,Precision,Recall,F1,AUC
Logistic Regression,0.8678,0.6842,0.8125,0.7429,0.9439
SGD Classifier,0.8309,0.8462,0.6875,0.7586,0.9591
Ridge Classifier,0.9311,0.9333,0.875,0.9032,0.996
Perceptron,0.8309,0.8462,0.6875,0.7586,0.9543
Passive Aggressive,0.8622,0.8571,0.75,0.8,0.9655
SVM (RBF),0.8053,0.6471,0.6875,0.6667,0.9247
SVM (Linear),0.8934,0.8667,0.8125,0.8387,0.9744
NuSVC,0.6554,0.5455,0.375,0.4444,0.9119
KNN (k=5),0.6931,0.6364,0.4375,0.5185,0.8614
KNN (k=11),0.649,0.5,0.375,0.4286,0.8806
Gaussian NB,0.4832,0.1646,0.8125,0.2737,0.7452
Bernoulli NB,0.8045,0.5217,0.75,0.6154,0.855
Decision Tree,0.6987,0.5,0.5,0.5,0.6935
Extra Tree,0.6923,0.4706,0.5,0.4848,0.6931
Random Forest,0.855,0.619,0.8125,0.7027,0.8926
Extra Trees,0.8301,0.6316,0.75,0.6857,0.9079
Gradient Boosting,0.8806,0.7647,0.8125,0.7879,0.9062
Hist Gradient Boosting,0.8053,0.6471,0.6875,0.6667,0.8958
AdaBoost,0.8494,0.75,0.75,0.75,0.9283
Bagging,0.7933,0.7692,0.625,0.6897,0.9018
MLP (100-50),0.5248,0.5,0.0625,0.1111,0.8662
MLP (200-100-50),0.6867,0.5833,0.4375,0.5,0.8478
LDA,0.774,0.625,0.625,0.625,0.9095
QDA,0.8301,0.6316,0.75,0.6857,0.859
XGBoost,0.8678,0.6842,0.8125,0.7429,0.9135
